wdid,name
Q28002959,Абдулла Арипов
Q29349797,Ачилбай Раматов
Q84718692,Сардор Умурзаков
Q106165258,Джамшид Кучкаров
,Зулайхо Махкамова
Q79312593,Шухрат Ганиев
Q24009847,Азиз Абдухакимов
Q106612393,Кахраман Сариев
Q106165258,Джамшид Кучкаров
Q106171645,Тимур Ишметов
Q106592837,Илхом Махкамов
Q106498315,Нозим Хусанов
Q105966595,Абдукодир Тошкулов
Q109656595,Бахтиёр Саидов
Q106511584,Бехзод Мусаев
Q38905192,Пулат Бобожонов
Q63283334,Баходир Курбанов
,Абдулла Кулдашев
Q24009743,Батир Закиров
Q317484,Абдулазиз Камилов
Q84718692,Сардор Умурзаков
Q72563597,Шерзод Шерматов
Q106530287,Русланбек Давлетов
Q4312092,Озодбек Назарбеков
Q24009847,Азиз Абдухакимов
Q28665708,Адхам Икрамов
Q106606953,Шерзод Хидоятов
Q60330941,Агриппина Шин
Q106361482,Иброхим Абдурахмонов
Q106574535,Жамшид Ходжаев
Q106606931,Шавкат Хамраев
Q28855136,Алишер Султанов
Q106570383,Турсинхан Худайбергенов
